train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes
0.001,83.05608066,3536,0.4522216022014618,72,255092,254991,-39.61604309082031,17.94,14270
0.001,82.91547996999999,3538,0.8934869766235352,72,255268,255167,-40.979942321777344,17.89,14280
0.001,83.05551795000001,3540,1.0809086561203003,72,255454,255353,-39.62865447998047,17.94,14290
0.001,83.1300742,3543,0.6887115240097046,72,255636,255535,-40.546939849853516,17.96,14300
0.001,83.27626314,3545,0.502557635307312,72,255814,255713,-39.553497314453125,18.0,14310
0.001,83.36998035,3548,0.679455041885376,72,256001,255900,-39.89656066894531,18.04,14320
0.001,83.13876613999999,3550,0.8443544507026672,72,256177,256076,-38.765716552734375,17.96,14330
0.001,83.13535105,3553,1.3227155208587646,72,256356,256255,-41.05085754394531,17.96,14340
0.001,83.19729001000002,3555,0.5989644527435303,72,256535,256434,-37.5744743347168,17.99,14350
0.001,83.37574358,3558,0.6649104952812195,72,256714,256613,-39.114933013916016,18.05,14360
0.001,83.40936122000001,3560,1.0678644180297852,72,256898,256797,-39.45519256591797,18.06,14370
0.001,83.46811731,3562,0.8994687795639038,72,257076,256975,-42.86478805541992,18.08,14380
0.001,83.19160918,3565,0.5282527208328247,72,257253,257152,-40.244850158691406,17.99,14390
0.001,83.10053712000001,3567,1.0164724588394165,72,257432,257331,-39.3296012878418,17.96,14400
0.001,83.02001958000001,3570,0.6384280323982239,72,257608,257507,-38.569000244140625,17.94,14410
0.001,82.65771305,3572,2.0789859294891357,72,257782,257681,-38.757118225097656,17.81,14420
0.001,82.65886630000001,3575,0.727806568145752,72,257958,257857,-40.569122314453125,17.81,14430
0.001,82.85254999999998,3577,0.6396028995513916,72,258144,258043,-44.814666748046875,17.88,14440
0.001,82.90266137,3580,0.6997745633125305,72,258324,258223,-38.791259765625,17.89,14450
0.001,83.1002185,3582,0.4904891848564148,72,258510,258409,-40.75199890136719,17.96,14460
0.001,83.05798942999999,3585,0.5748718976974487,72,258692,258591,-37.88788986206055,17.94,14470
0.001,83.36939253,3587,0.5209971070289612,72,258881,258780,-38.134700775146484,18.05,14480
0.001,83.40654978999999,3590,0.8822653889656067,72,259059,258958,-39.09690856933594,18.06,14490
0.001,83.51302556,3592,0.82054603099823,72,259242,259141,-40.86201477050781,18.1,14500
0.001,83.45409529999999,3595,0.8001980781555176,72,259416,259315,-38.32423400878906,18.08,14510
0.001,83.71299280000001,3597,1.3441416025161743,72,259599,259498,-39.12502670288086,18.17,14520
0.001,83.92676334,3600,0.7265836000442505,72,259782,259681,-41.1016845703125,18.24,14530
0.001,83.64245706000001,3602,1.0805271863937378,72,259958,259857,-39.949615478515625,18.14,14540
0.001,83.56315196,3605,0.7860367298126221,72,260136,260035,-40.8996696472168,18.12,14550
0.001,83.39571131000001,3607,0.668277382850647,72,260317,260216,-38.849388122558594,18.07,14560
0.001,83.27087082,3610,0.8985951542854309,72,260495,260394,-39.97093963623047,18.03,14570
0.001,82.92116826,3612,0.509888768196106,72,260672,260571,-40.563934326171875,17.91,14580
0.001,82.9975348,3615,0.8017802238464355,72,260853,260752,-42.833045959472656,17.94,14590
0.001,82.86220134999999,3617,1.163661003112793,72,261031,260930,-40.44770050048828,17.89,14600
0.001,82.88583814000002,3619,0.2945441007614136,72,261206,261105,-38.75630187988281,17.9,14610
0.001,82.82540273999999,3622,0.8905379176139832,72,261387,261286,-38.66554260253906,17.88,14620
0.001,82.51115411999999,3624,0.35230177640914917,72,261560,261459,-40.75580596923828,17.78,14630
