time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
107393,1566,70.21384547000001,-36.333152770996094,7220,14.85,0.08643981069326401,68,107292,0.001
107542,1568,70.35409997000001,-36.36621856689453,7230,14.88,0.2236226201057434,68,107441,0.001
107690,1570,70.35791798,-33.49665069580078,7240,14.88,0.10346907377243042,68,107589,0.001
107839,1573,70.32089003,-37.32664489746094,7250,14.87,0.10315530002117157,68,107738,0.001
107986,1575,70.26967494,-35.21537780761719,7260,14.86,0.10163649916648865,68,107885,0.001
108134,1577,70.26262318,-36.21907424926758,7270,14.86,0.09286418557167053,68,108033,0.001
108283,1579,70.21729438,-35.88087463378906,7280,14.85,0.3573114275932312,68,108182,0.001
108433,1581,70.2686082,-35.26282501220703,7290,14.86,0.17596788704395294,68,108332,0.001
108580,1583,70.17372861000001,-35.72337341308594,7300,14.84,0.17357179522514343,68,108479,0.001
108728,1586,70.13713555999999,-37.459312438964844,7310,14.83,0.15429998934268951,68,108627,0.001
108878,1588,70.22759436,-35.22416687011719,7320,14.85,0.28369754552841187,68,108777,0.001
109027,1590,70.22025636,-33.75453186035156,7330,14.85,0.22243589162826538,68,108926,0.001
109175,1592,70.22137724,-36.63059997558594,7340,14.85,0.22247105836868286,68,109074,0.001
109324,1594,70.21473482,-36.975486755371094,7350,14.85,0.21955791115760803,68,109223,0.001
109472,1596,70.25492885999999,-35.128177642822266,7360,14.86,0.3067469298839569,68,109371,0.001
109620,1598,70.25989009999999,-36.3194694519043,7370,14.86,0.14835622906684875,68,109519,0.001
109770,1601,70.29637363000002,-36.125858306884766,7380,14.87,0.08971095085144043,68,109669,0.001
109919,1603,70.25079285,-35.711891174316406,7390,14.86,0.2973586916923523,68,109818,0.001
110067,1605,70.30116261999999,-35.50468826293945,7400,14.87,0.09561531990766525,68,109966,0.001
110216,1607,70.34326492999999,-34.300750732421875,7410,14.88,0.1523095667362213,68,110115,0.001
110366,1609,70.34777446,-36.589988708496094,7420,14.88,0.2174767553806305,68,110265,0.001
110516,1611,70.39185221,-37.082977294921875,7430,14.89,0.08659764379262924,68,110415,0.001
110666,1614,70.48536778,-35.20873260498047,7440,14.91,0.2863368093967438,68,110565,0.001
110816,1616,70.53581054,-38.293819427490234,7450,14.92,0.11345158517360687,68,110715,0.001
110966,1618,70.63993865000002,-34.331199645996094,7460,14.94,0.0973052904009819,68,110865,0.001
111115,1620,70.69416062,-37.05107879638672,7470,14.95,0.08760294318199158,68,111014,0.001
111265,1622,70.70112248,-35.31836700439453,7480,14.95,0.15778261423110962,68,111164,0.001
111415,1624,70.7434526,-32.88676452636719,7490,14.96,0.2350877821445465,68,111314,0.001
111561,1626,70.64447974999999,-36.52897644042969,7500,14.94,0.2127648890018463,68,111460,0.001
111710,1628,70.6370009,-35.801212310791016,7510,14.94,0.09187495708465576,68,111609,0.001
